"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6006","the per-type breakdown matches","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped figures match the activities","post-render-wrapped-figures.spec.js","",""
"","25979","the sample preview chrome clears once your own data is mapped","desktop-chromium","2026-07-10","passed","2026-07-10","Reimport resets state","reimport-resets-state.spec.js","",""
"","24088","the whole journey completes without a single page error","desktop-chromium","2026-07-10","passed","2026-07-10","First visit critical journey","smoke.spec.js","",""
"","5509","countries counts the distinct countries visited","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped figures match the activities","post-render-wrapped-figures.spec.js","",""
"","5719","renders every GPS file including gzipped entries","desktop-chromium","2026-07-10","passed","2026-07-10","Import a bare ZIP of loose GPS files","import-gps-zip.spec.js","",""
"","4199","clicking the splash fades it out and removes it from the page","desktop-chromium","2026-07-10","passed","2026-07-10","Welcome tour walkthrough","ftu-tour-walkthrough.spec.js","",""
"","7638","re-adding a file already on the map is skipped, a new file is not","desktop-chromium","2026-07-10","passed","2026-07-10","Post-render map mutations","post-render-mutations.spec.js","",""
"","5890","GPX export downloads a valid GPX for the route","desktop-chromium","2026-07-10","passed","2026-07-10","Route popup and GPX export","post-render-popup.spec.js","",""
"","4138","a corrupt ZIP (no End-of-Central-Directory) is rejected without rendering","desktop-chromium","2026-07-10","passed","2026-07-10","Malformed and empty inputs","malformed-inputs.spec.js","",""
"","12626","a valid v:2 3D link opens the 3D view for the shared route","desktop-chromium","2026-07-10","passed","2026-07-10","Opening a shared 3D link","post-render-share-3d.spec.js","",""
"","10706","opening a reference in 3D disables the 3D share button","desktop-chromium","2026-07-10","passed","2026-07-10","Reference route popup and 3D","reference-routes-popup-3d.spec.js","",""
"","5787","the route popup offers the 3D and GPX actions","desktop-chromium","2026-07-10","passed","2026-07-10","Route popup and GPX export","post-render-popup.spec.js","",""
"","6070","the heatmap toggle adds and removes the heat canvas","desktop-chromium","2026-07-10","passed","2026-07-10","Type and heatmap toggles","post-render-toggles.spec.js","",""
"","7828","a date window and a type toggle narrow the map together","desktop-chromium","2026-07-10","passed","2026-07-10","Date range filter combined with type toggles","post-render-date-filter.spec.js","",""
"","6593","a route added after render links via the post-add popup","desktop-chromium","2026-07-10","passed","2026-07-10","Route popup deep links per source","post-render-popup-links.spec.js","",""
"","4326","before any import, the activity counter shows zero","desktop-chromium","2026-07-10","passed","2026-07-10","Opening allroutes.app","foundation.spec.js","",""
"","5758","a Strava route links to strava.com","desktop-chromium","2026-07-10","passed","2026-07-10","Route popup deep links per source","post-render-popup-links.spec.js","",""
"","7002","replaying the map redraws every route","desktop-chromium","2026-07-10","passed","2026-07-10","Replay the route animation","post-render-replay.spec.js","",""
"","3702","the app boots to the welcome splash with the activity counter at zero","desktop-chromium","2026-07-10","passed","2026-07-10","First visit critical journey","smoke.spec.js","",""
"","4585","the dev build is served and the page identifies itself as allroutes.app","desktop-chromium","2026-07-10","passed","2026-07-10","Opening allroutes.app","foundation.spec.js","",""
"","7183","clearing the map returns to the first-time state","desktop-chromium","2026-07-10","passed","2026-07-10","Post-render map mutations","post-render-mutations.spec.js","",""
"","7226","a Garmin route links to Garmin Connect","desktop-chromium","2026-07-10","passed","2026-07-10","Route popup deep links per source","post-render-popup-links.spec.js","",""
"","7659","only visible routes are shared","desktop-chromium","2026-07-10","passed","2026-07-10","Shared map round-trip","share-roundtrip.spec.js","",""
"","6639","a trip with no loaded activities cannot be shared","desktop-chromium","2026-07-10","passed","2026-07-10","Share and view a trip","post-render-trip-share.spec.js","",""
"","7265","cancelling trip creation adds nothing","desktop-chromium","2026-07-10","passed","2026-07-10","Trips group activities","post-render-trips.spec.js","",""
"","7783","picking a different pace records it as the active replay speed","desktop-chromium","2026-07-10","passed","2026-07-10","Replay the route animation","post-render-replay.spec.js","",""
"","4092","dismissing the splash brings up the welcome tour, and skipping it reveals the app","desktop-chromium","2026-07-10","passed","2026-07-10","First visit critical journey","smoke.spec.js","",""
"","6940","reference routes of every loose format draw together","desktop-chromium","2026-07-10","passed","2026-07-10","Add reference routes to the map","reference-routes-draw.spec.js","",""
"","10424","forgetting the saved map also forgets the remembered view","desktop-chromium","2026-07-10","passed","2026-07-10","Lightweight view persistence","post-render-persist-view.spec.js","",""
"","9277","the arrows move through the cards and stop at both ends","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped opens and builds","post-render-wrapped-mechanics.spec.js","",""
"","8750","changing the year rebuilds and re-bases the saved filename","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped selection edges and filenames","post-render-wrapped-selection.spec.js","",""
"","10354","restoring reopens the map at the last settled view","desktop-chromium","2026-07-10","passed","2026-07-10","Lightweight view persistence","post-render-persist-view.spec.js","",""
"","5704","renders a mixed multi-file drop of gpx, tcx, kml and fit","desktop-chromium","2026-07-10","passed","2026-07-10","Import loose GPS files","import-loose.spec.js","",""
"","5668","a Komoot route links to komoot.com","desktop-chromium","2026-07-10","passed","2026-07-10","Route popup deep links per source","post-render-popup-links.spec.js","",""
"","7338","sharing the current card uses the native share sheet when available","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped card sharing","post-render-wrapped-share.spec.js","",""
"","7646","the reference popup shows the reference tag and no personal actions","desktop-chromium","2026-07-10","passed","2026-07-10","Reference route popup and 3D","reference-routes-popup-3d.spec.js","",""
"","7879","clicking a record whose activity type is hidden re-enables that type","desktop-chromium","2026-07-10","passed","2026-07-10","Milestones panel","post-render-milestones.spec.js","",""
"","7316","opening Wrapped lands in Year mode with the year picker showing","desktop-chromium","2026-07-10","passed","2026-07-10","Wrapped period and type controls","post-render-wrapped-controls.spec.js","",""
